item_url,title,sku,price,category,image,description
https://www.profile-education.co.uk/exploring-sink-table,Exploring Sink Table,HW1-S600-V01,£913.93,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/HW1-S600-V01-outdoor-exploring-sink-table-lifestyle-children-1.jpg,"Materials:

Manufactured from the finest durable pinewood which has natural patterns and grains for great aesthetic appeal. Our pinewood is pre-treated to provide maximum resistance against rot and decay. Meets relevant safety standards.

Overall dimensions (H x W x D):

1200 x 1410 x 600 mm

Age range: 3+"
https://www.profile-education.co.uk/exploring-observation-table,Exploring Observation Table,HW1-S601-V01,£719.36,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/HW1-S601-V01-outdoor-exloring-observation-table-close-up-boy-1.jpg,"Materials:

Manufactured from the finest durable pinewood which has natural patterns and grains for great aesthetic appeal. Our pinewood is pre-treated to provide maximum resistance against rot and decay. Meets relevant safety standards.

Overall dimensions (H x W x D):

1200 x 1410 x 600 mm

Age range: 3+"
https://www.profile-education.co.uk/exploration-challenge-sets,Exploration Challenge Sets,YJ001325-B,"£2,340.94",Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/YJ001355-B-exploration-challenge-medium-set-ourdoor-play-gym-with-children-LR-RGB.jpg,"Materials:

Manufactured from a highly durable sustainable wood that is suitable for external use without ongoing preservative treatment. Climbing rails are made from rust resistant galvanized steel and platforms are manufactured from robust plastic – with a high tensile strength and resistance to harsh environments.

Our small set includes 5 pieces:

2 trestles (1 large and 1 small)

1 wide walk board

1 narrow walk board

1 step ladder.

Overall dimensions: (H x W x D):

1345 x 3300 x 720 mm

Our medium set includes 7 pieces:

3 trestles (1 high and 2 low)

1 step ladder

1 rope ladder

1 narrow and 1 wide walk board

Supplied flat packed with simple assembly instructions.

Overall dimensions (H x W x D):

1345 x 5400 x 760 mm

Our large set includes 9 pieces:

4 trestles (2 high and 2 low)

2 step ladders

1 rope ladder

1 narrow and 1 wide walk board.

Supplied flat packed with simple assembly instructions.

Overall dimensions (H x W x D):

1345 x 7200 x 760mm

Age range: 3+"
https://www.profile-education.co.uk/elegant-tall-basic-book-storage,Elegant Tall Basic Book Storage,KB1-EAB029-30,£224.29,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAB029-30-elegant-tall-book-storage-with-child.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and long life. Meet relevant safety standards for school use.

Overall dimensions (H x W x D):

1200 x 830 x 400 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-sloping-book-display,Elegant Sloping Book Display,KB1-EAB027-30,£249.33,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAB027-30-elegant-sloping-book-display-unit-lifestyle-boy-6.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and long life. Meet relevant safety standards for school use.

Overall dimensions (H x W x D):

1200 x 830 x 415 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-height-adjustable-round-table,Elegant Height Adjustable Round Table,KB4-EAX85-30,£184.92,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB4-EAX85-30-elegant-round-table-product-1.jpg,"Materials:

Manufactured from sturdy 48mm tubular metal powder coated legs. 28mm thick natural Maple wood top. Meet EN1729 dimensional and safety standards.

Overall dimensions (H x W x D):

390/620 x 800 x 800 mm

Age range: 2 to 8"
https://www.profile-education.co.uk/elegant-height-adjustable-rectangular-tables,Elegant Height Adjustable Rectangular Tables,KB4-EAX8060-30,£157.35,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB4-EAX202-30-elegant-6-seater-rectangle-table-product-2.jpg,"Materials:

Manufactured from sturdy 48mm tubular metal powder coated legs. 28mm thick natural Maple wood top. Meet EN1729 dimensional and safety standards.

6 seater: 390/620 x 1200 x 600 mm

4 seater: 390/620 x 800 x 600 mm

Age range: 2 to 8"
https://www.profile-education.co.uk/elegant-height-adjustable-flower-table,Elegant Height Adjustable Flower Table,KB4-EAX214-30SET,£276.00,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB4-EAX214-30-elegant-6-seater-flower-table-lifestyle-boy-5.jpg,"Materials:

Manufactured from sturdy 48mm tubular metal powder coated legs and 28mm thick natural Maple wood top. Meet EN1729 dimensional and safety standards.

Overall dimensions (H x W):

390/620 x 1200 mm

Age range: 2 to 8"
https://www.profile-education.co.uk/elegant-height-adjustable-fan-table,Elegant Height Adjustable Fan Table,KB4-EAX212-30,£191.96,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB4-EAX212-30-elegant-fan-table-product-1.jpg,"Materials:

Manufactured from sturdy 48mm tubular metal powder coated legs. 28mm thick natural Maple wood top. Meet EN1729 dimensional and safety standards.

Overall dimensions (H x W x D):

390/620 x 1270 x 680 mm

Age range: 2 to 8"
https://www.profile-education.co.uk/elegant-chairs,Elegant Chairs,KB5-CB31-V01-78,£157.45,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB5-CB26-V01-78-elegant-set-of-chairs-260mm-product-1.jpg,"Materials:

Manufactured from a metal frame with impact resistant powder coating and a durable polyproylene seat. Tested to meet EN1729 standards.

Overall dimensions (H x W x D):

Age range: 2 to 3

445 x 350 x 420 mm

Seat height: 210 mm

Age range: 3 to 4

500 x 360 x 330 mm

Seat height: 260 mm

Age range: 4 to 6

540 x 370 x 370 mm

Seat height: 310 mm

Age range: 6 to 8

590 x 370 x 370 mm

Seat height: 350 mm"
